label,message
ham,"Your recharge of Rs.349 was successful. Your plan is valid for 28 days."
ham,"Your prepaid plan has been renewed successfully."
ham,"Your current plan expires today. Recharge to continue your services."
ham,"Enjoy 2 GB/day data and unlimited voice for 28 days."
ham,"Recharge with Rs.299 and enjoy additional benefits."
ham,"Your data plan has been activated successfully."
ham,"Your eligible plan includes unlimited 5G data."
ham,"Exclusive benefits are available with your current plan."
ham,"Plan expired! Recharge now Jio no. 8822131292 with Rs.349 plan & get Exclusive Offer! JioHotstar + Free AI benefits from Google Gemini & 5000 GB storage + Unlimited 5G data + 2 GB/day, Unlimited Voice, 28 Days. Use PhonePe app & get upto Rs.400 Rewards. T&CA.https://phon.pe/jiol"
ham,"Your transaction of Rs.5000 was successful."
ham,"Your account statement is now available."
ham,"Your ATM withdrawal of Rs.2000 was successful."
ham,"Your OTP is 482931. Do not share it with anyone."
ham,"Your debit card payment of Rs.750 was successful."
ham,"Your monthly account statement is ready."
ham,"Your card payment has been processed successfully."
ham,"Your account security settings were updated successfully."
ham,"Your KYC information has been updated successfully."
ham,"Your payment of Rs.500 was successful."
ham,"Your recharge payment was successful."
ham,"Your refund of Rs.250 has been credited."
ham,"Your cashback of Rs.100 has been credited."
ham,"Your reward has been added to your account."
ham,"Your UPI transaction was successful."
ham,"Your payment could not be completed."
ham,"Your transaction has been reversed successfully."
ham,"Your order has been confirmed."
ham,"Your order has been shipped."
ham,"Your package will arrive today."
ham,"Your refund has been processed."
ham,"Your return request has been approved."
ham,"Get up to 50% off during our seasonal sale."
ham,"Exclusive offers are available for you."
ham,"Your coupon is valid until Sunday."
ham,"Your order payment was successful."
ham,"Your flight booking has been confirmed."
ham,"Your train ticket has been booked successfully."
ham,"Your boarding time has changed."
ham,"Your hotel reservation is confirmed."
ham,"Your journey details are available."
ham,"Your ticket has been cancelled and the refund is being processed."
ham,"Your appointment has been confirmed."
ham,"Your lab report is now available."
ham,"Your prescription has been updated."
ham,"Your payment of Rs.500 was successful."
ham,"Your appointment is scheduled for tomorrow."
ham,"Your password was changed successfully."
ham,"Your login was successful."
ham,"Your security settings were updated."
ham,"Your subscription has been renewed."
ham,"Your subscription expires in 7 days."
ham,"Your verification code is 123456."
ham,"Your account recovery email was updated."
ham,"Your application status is updated."
ham,"Document verification successful."
ham,"Fee receipt for semester 3 is available."
ham,"Exam notification: Date sheet released."
