label,message
spam,"Your Jio plan has expired. Click here immediately and enter your banking password to reactivate it."
spam,"Your OTP is 482931. Click this link and enter the OTP to receive your reward."
spam,"Your payment failed. Pay Rs.10 immediately using this link to restore your account."
spam,"Your cashback of Rs.1000 is waiting. Click here and enter your card details to claim it."
spam,"Your account has been compromised. Verify your password immediately."
spam,"Your plan expires today. Click this link and enter your bank credentials."
spam,"Dear customer, your bank account is suspended. Update KYC now via link."
spam,"You have won a lottery of Rs.50000. Send your bank details to claim."
spam,"Urgent: Your account will be closed in 24 hours. Login here to prevent it."
spam,"Your debit card is blocked. Click here to unblock."
spam,"Congratulations! Click here to claim your free iPhone."
spam,"Action required: Verify your identity to keep your account active."
spam,"Payment received. If you did not make this payment, cancel here: https://evil.com"
spam,"Important: Your parcel is on hold. Pay customs fee Rs.50 to release."
spam,"Your refund of Rs.10000 is ready. Enter PIN to receive."
spam,"Your reward points expire today. Redeem now by entering your card details."
spam,"Verify your phone number by sending OTP to us immediately."
spam,"Your WhatsApp is expiring. Update now."
spam,"You have a pending voice message. Listen here."
spam,"Your Netflix subscription expired. Update payment details now."
